[2025-01-26 06:59:38.578645 UTC] [Log] [App] SDL-LOG: This is an informational log.
[2025-01-26 06:59:38.578682 UTC] [Wrn] [Asr] SDL-LOG: This is a warning log.
[2025-01-26 06:59:38.578685 UTC] [Err] [Err] SDL-LOG: This is an error log.
[2025-01-26 06:59:38.578688 UTC] [Log] [App] SDL-LOG: Starting Initialization...
[2025-01-26 06:59:38.612898 UTC] [Log] [App] SDL-LOG: SDL Window: Text Editor Created!
[2025-01-26 06:59:38.836403 UTC] [Log] [App] SDL-LOG: SDL Window: SDL_CreateRenderer Created!
[2025-01-26 06:59:38.837562 UTC] [Log] [App] SDL-LOG: SDL Window: font_load_from_file Created!
[2025-01-26 06:59:38.846692 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 9
[2025-01-26 06:59:38.847885 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 11
[2025-01-26 06:59:38.848193 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 11
[2025-01-26 06:59:38.848535 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 11
[2025-01-26 06:59:38.848868 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 12
[2025-01-26 06:59:38.851399 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 14
[2025-01-26 06:59:38.851773 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 14
[2025-01-26 06:59:38.852241 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 15
[2025-01-26 06:59:38.853231 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 16
[2025-01-26 06:59:39.547862 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 3
[2025-01-26 06:59:39.551799 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:39.553055 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.559016 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.564952 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.571343 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.577997 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.584561 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:39.585057 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.590827 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.597614 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.604999 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.611510 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.619018 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.625328 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.631394 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:39.632041 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.638498 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.646108 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.652695 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.659667 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.666556 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.673598 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.680533 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.758792 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.764963 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.771577 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.779121 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.785895 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.791853 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.797834 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.803836 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:39.810670 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:39.817725 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
